short_descriptions,priority
mk new shortcut deployment cobc awareness portal,MEDIUM
unclear message when submitting incident to my it service portal,LOW
at assign boa analysis role in sap,CRITICAL
it corner concierge,LOW
amer pfizer com cpqsmselftesterror intel,HIGH
network password reset,MEDIUM
request incomplete fulfillment of service request,LOW
pointsec reset password,MEDIUM
nols access issue,LOW
please activate online archive for users and delete s the messages from the second level baskets,MEDIUM
to restart the sql server,HIGH
question regarding sandbox password change,MEDIUM
ms office updates trashing documents wasting work,MEDIUM
login failure for acos repository,MEDIUM
inc don t see vim invocice in sap inbox,LOW
dl update removal,HIGH
cdb customer wrong operational customer name,LOW
nokia applications is not showing in software center,LOW
unable to send email you don t have permission to send to,LOW
international movement inside cch termination,MEDIUM
it corner concierge,LOW
ng shift update,MEDIUM
hosted virtual desktop request access problem,LOW
it corner concierge,LOW
po invoice status paying failed although the invoice is payed,LOW
hardware screen broken no display on the laptop screen,LOW
request oracle virtual box installation,LOW
user needs default password manager has defualt password,MEDIUM
reload data from sdo into bw,MEDIUM
mvetri buratti otsuka onpg com wants to access e gen docs,MEDIUM
it corner concierge,LOW
it reopen the day in ifsa,CRITICAL
atlas support wo spa in processing delivery confirmacion,LOW
virtual machine not enough disk space,LOW
in linux server additional space required on zeu alcatel lucent com,LOW
it corner concierge,LOW
orion not taking credentials,MEDIUM
user msalah quality ts com – repeating password issue,LOW
unable to access intranet websites using virtual pc,LOW
melissa mchale cw otsuka us com issue with sharepoint file,MEDIUM
issue reported psint issues call reported june,LOW
functional mailbox unable to send email from functional mailbox,LOW
unreachable via ssh,HIGH
hu opex allocation actual,CRITICAL
software win installation issue,MEDIUM
users unable to create svo for maintenance plant,LOW
po s not reached to otm qa from,LOW
office outlook not updating problem with re installation,LOW
cares remedy support request,LOW
bios password management,LOW
powerapps doesn t work with an sharepoint list,MEDIUM
delete shipment id,LOW
p nun nokia botnet successful inbound connection from a known botnet candc,MEDIUM
unable to connect with wifi,MEDIUM
user mateusz sloboda networks pl getting error sso – contact cannot be updated,LOW
query engine error in orion app,MEDIUM
trust relationship error domain join,MEDIUM
approve blocked sales order,MEDIUM
intune need clarification on a received email regarding please remove your windows pc from intune,LOW
ch assign sap label printer,MEDIUM
request incomplete fulfillment of service request,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
process chain failures group,LOW
pw reset almone knil ext nokia com,LOW
rs special allocation rule matterial losses,CRITICAL
jabber phone services my jabber phone services is not working,MEDIUM
my hvd machine does not startup anymore,LOW
plant track and trace system ptts pgs vizag plant production ping monitor is in critical status,HIGH
unable to login to machine,LOW
office and project deactivated,MEDIUM
it corner concierge,LOW
de oneclickmeeting room booking error,LOW
cannot complete request for hvd,LOW
amer pfizer com cpqsmselftesterror intel,LOW
p nun nokia recon excessive firewall denies from local host,MEDIUM
privilege account for server access,LOW
hp printing scanner not working,LOW
mseams not accessible,MEDIUM
nra cisco anyconnect login failed,MEDIUM
support portal change setup for account alexey sprygin megafon ru,LOW
partner program augustusg synnex com procurement of invoice tool us,LOW
sharepoint link issue,LOW
remote access stopped working,MEDIUM
distribution group change,MEDIUM
hardware laptop ac adapter charger faulty,LOW
spc quality monitoring,MEDIUM
laptop screen is black,LOW
server giving jita error please check,HIGH
please enable smtp service for,MEDIUM
cronos tool not accessible,HIGH
fnokia hardware laptop keyboard failure,LOW
salesforce ticket stage is stuck,LOW
otm prod access for pgl lsp users,LOW
job canceled and not restarted please create an ebox urgent ticket to restart the failed job,LOW
nfs export unmount request,LOW
docuproof login failure,MEDIUM
mass role assigment,CRITICAL
p nun nokia authentication repeat windows login failures,MEDIUM
issue with concur,MEDIUM
hvd is not working,LOW
nra cisco anyconnect certification validation failure,LOW
bg shared folder access,MEDIUM
pfizer com increased severity as incident repeated times the asset can no longer be reached ops center pfe oem ops center alert guest ldom,HIGH
ftp server issues via office wlan wifi connections,MEDIUM
p nun nokia single infection single host virus clean failed symantec,MEDIUM
nct access is not provided for user ou nishiyama kddi com,LOW
unable to download nokia ras client from software centre,LOW
can t open alliance cdr front end link in citrix,LOW
ed ldap log analysis,LOW
error stayus cancellation,LOW
it corner concierge,LOW
integra login issue,MEDIUM
amq yellostone is not accessible,LOW
salesforce crm sso error,LOW
replacement sb power adaptor,MEDIUM
software fmo bsod,MEDIUM
network connectivity issue,LOW
vpn certificate validation failure error,LOW
the user is calling stating that they need a password reset,MEDIUM
sap incident process chain failures bwp group,LOW
ng upload kbi into heads,MEDIUM
unable to login to vpn,MEDIUM
mjanousek otsuka europe com mjanousek otsuka europe com wants to access e gen docs,MEDIUM
gr access to sap analytics,MEDIUM
error host is blocked because of many connection error,LOW
please provide admin access to nsw nmnet confluence page,LOW
sf mail address change request erlin chen,LOW
pl change of cti lines,CRITICAL
bso access rights for sap,MEDIUM
it corner concierge,LOW
sharepoint association with a hub site,LOW
lost mapping to m drive,MEDIUM
it corner concierge,LOW
account is been disbaled for arndam dey cw request to enable the account,MEDIUM
copy application to new group,MEDIUM
veeva login error,MEDIUM
it corner concierge,LOW
pl password reset,MEDIUM
vpn user cannot connect using cisco anyconnect,LOW
can t log in to outlook,MEDIUM
it corner concierge,LOW
skype access issue,MEDIUM
all the qg tasks from the selected qg s are not available for,HIGH
ee linsee password for falu ldap account no longer works,MEDIUM
unlock only airwatch account,MEDIUM
software fmo domain trust relationship issue,LOW
sap unable to access no switch to https occurred so it is not secure to send a password,LOW
the user is calling stating that they need a password reset,MEDIUM
infosec phishing email and end user clicked on the link,MEDIUM
ng block sender domain,CRITICAL
bitlocker unable to set pin after using the recovery key,LOW
tw cec building hp laserjet color mfp printer cartridge compartment abnormal powder overflow,LOW
reminder authorization on bi reports,LOW
restore access to skype,MEDIUM
several account cannot list buckets getting quota exceeded,LOW
stat wbs not visible in,MEDIUM
user s secondary accounts are gone,LOW
request incomplete fulfillment of service request,LOW
users account deprovisioned,MEDIUM
p nun nokia application connectify detected on host symantec log source,MEDIUM
hvd unable to access,LOW
unable to access remote desktop for labware lims,MEDIUM
re reset password to access elearn,MEDIUM
user cannot log into anything,MEDIUM
symantec end point protection blocked traffic ip,LOW
computer not booting up,MEDIUM
vpn access for,MEDIUM
bso copy accesses for processing ssf,MEDIUM
can t input leave absence,LOW
hu external e mail adress add to blacklist,MEDIUM
can t get access to jira,LOW
dp issues three srike failure ailures for amer bs gp ct no backup,HIGH
supplier not opening,LOW
access issues elearn success factors portal,MEDIUM
nokia central sharepoint access issue,LOW
osloete br removal,MEDIUM
george capital forklift ru,MEDIUM
mqt dev environment is missing,LOW
issues with adobe tool bar,MEDIUM
inco term bol bol,LOW
idoc sending error please create a ticket and assign to ipaas team,LOW
po not sent to supplier error invalid from credential,LOW
czsk bss approvers in servicenow,MEDIUM
request for access to firewall request tool http de alcatel lucent com cfo it reques,LOW
partner program enrique roques al enterprise com,LOW
vpn remote access,LOW
product statuses in have benn found in apo not to match ecc,LOW
document number ranges not set up in cnn,MEDIUM
mobile network coverage to be checked at new office alpha city chennai,LOW
error when we are not signed in,LOW
software fmo bsod,LOW
bso ssf inbox in outlook,MEDIUM
international movement inside cch termination,MEDIUM
re service center password reset required,MEDIUM
it corner concierge,LOW
microsoft teams training,MEDIUM
gr sap access copy roles,MEDIUM
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
it corner concierge,LOW
network inquiry could you please tell me what is the ip that the roppongi hills site using towards internet,LOW
hr sap access,MEDIUM
oracle access for nick caramanico,MEDIUM
coco country norway vendor po and wrong amounts in gr s reversal,LOW
functional acknowdledgement idocs are not deliveried from bp to for outbound shpcon idocs,MEDIUM
p nun nokia security risk found on host,MEDIUM
smart view installation request for erin wardle otsuka us com,MEDIUM
it corner concierge,LOW
software computer always getting hangs,LOW
can t find software center after system reset,MEDIUM
certificate validation failure,LOW
hardware laptop keyboard not working,LOW
svo code is not able to tag,LOW
office activation issue outlook activation failure,LOW
hu need access right to sap transaction yfi cvmd dwnl in for sap user name andradi,LOW
dp issues failures for apac bs gp ct,HIGH
de i buy i buy marked as arrived but item is not available in post office,LOW
change saved password of network,MEDIUM
certificate validation failure,LOW
user not able to access data through sret,LOW
ch burgdorf gateways routers,MEDIUM
it corner concierge,LOW
critical issue vpn access not working,LOW
ndpd sf applicable is not accessible or only working intermittently for users,LOW
hospira corp down intel vm guest,HIGH
jira access permission issue,LOW
re fw push request for full adobe pro dc,MEDIUM
emea pfizer com cpqdaaccel intel,HIGH
laptop is not turning on,MEDIUM
yammer notification problem,LOW
it corner concierge,LOW
otd customer pbom explosion missing in execution in cycle scenario,MEDIUM
hp printing unreachable,LOW
it corner concierge,LOW
windows installation ticket requested to be created,LOW
rs qm syrup protocol,MEDIUM
it corner concierge,LOW
cares cares id modification and permission change,LOW
fw your incident has been resolved,MEDIUM
pfizer com cpqdadrvstatuschange intel,HIGH
deleted email keeps popping up in outlook causing app to freeze and crash,MEDIUM
support portal guido annaert orange com mapping issues,LOW
it corner concierge,LOW
malawi fsts unable to log in to sf mobile app,LOW
nokiameetings webex account has been deactivated,LOW
mfa authentication issue via callback option,LOW
vpn remote access,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
ipm reporting schedule report not running or taking long time,MEDIUM
printing from orator,MEDIUM
sync sapim with workflow tool,LOW
in browsers flash player issue,LOW
it corner concierge,LOW
gr update agent id,MEDIUM
it corner concierge,LOW
outlook is not opening in phone,MEDIUM
pl role assignment,MEDIUM
software center grayed out install button,LOW
project creation issues,LOW
workplace workstation performance challenges,MEDIUM
mfa fr mfa unable to configure mfa,LOW
france svo closing,LOW
skyp wpnt log in,MEDIUM
access to q,MEDIUM
pfizer com logmonitor veritas vcs rac failure escalate and investigate issues asap unix syslog pfeunix veritas vcs rac errors solaris zone,HIGH
mass update still running error,LOW
password reset help,HIGH
it corner concierge,LOW
comp portal temporarily unavailable,MEDIUM
in pc laptop not booting,LOW
intune unable to access email on the native email on the phone,LOW
request incomplete fulfillment of service request,LOW
active directory and citrix,MEDIUM
amer pfizer com cpqclusternetwork intel,LOW
cannot access in srm the dummy shc,LOW
it new shared mailbox prj sap consignment stock non compliant italy,CRITICAL
jabber falu pc phone service is disabled,LOW
sap desktop not appearing in citrix connection,MEDIUM
assign to comm atlas ingenius giant eagle,MEDIUM
vpn remote access,LOW
ibp s op,MEDIUM
telephone conferencing for office,MEDIUM
process chain failures bwr,MEDIUM
gr email license critical,CRITICAL
spyglass tool hickups in the system,MEDIUM
outlook other outlook unable to create out of office status message,LOW
fw unable to access elearns on ipad,MEDIUM
it corner concierge,LOW
p nun nokia proactive recurrent reinfection,MEDIUM
vpn certificate validation failure,LOW
unable to login to lawson,LOW
schedule slm patching for systems,MEDIUM
eg hvd access issue,LOW
functional mailbox unable to see own functional mailbox in outlook,LOW
can t log in power bi gateway failure,HIGH
grand access to opex dp switzerland for user,MEDIUM
cannot access cover,MEDIUM
multipath check for the servers,MEDIUM
christopher horning otsuka us com missing my middle name when updating my w,MEDIUM
pl quarterly snapshot not visible as suggested in,MEDIUM
jabber other cannot open page,LOW
issue with outstanding sto to,MEDIUM
receiveing multiple connection errors on,CRITICAL
unmatched request clean up,LOW
snmpagent pfizer com notresponding linux,LOW
request incomplete fulfillment of service request,LOW
it issues with,CRITICAL
lost mapping to m,MEDIUM
service now snow other issues,LOW
it corner concierge,LOW
alfa please help us investigate why shopping cart appears as awaiting for ¬approval in performance management however it has been deleted in sr,LOW
patching issue partially result for,LOW
server is very slow,MEDIUM
content owner authorization by,CRITICAL
it corner concierge,LOW
fu tool and fest issue,LOW
ppr input form project approval is not working properly,HIGH
sw rsa software is missing in software center,LOW
hardware laptop is powering on,MEDIUM
requesting access to various desktops and mail boxes,MEDIUM
new service request ticket to be created for oss in uk preparing laptop for mariyana analieva in reference to,LOW
filesystem share flash overutilized solaris zone host,MEDIUM
change dns record,MEDIUM
re rule detected prohibit auto forward via transport rule,MEDIUM
fw update please,MEDIUM
certificate validation failure,MEDIUM
adp portal and browser favourites and history missing,MEDIUM
it corner concierge,LOW
cz access to sap my planning folder daily sales report based on,MEDIUM
cannot be booked,LOW
active directory and citrix,MEDIUM
cisco any connect error message failed to load preferences,LOW
ip phones out of service,LOW
issue outlook other,LOW
cronos npo module br oi sran noa oi brasil not sending emails,LOW
pfizer com logmonitor memory errors escalate and investigate issues asap unix syslog pfeunix memory errors linux,LOW
p nun nokia x force premium internal connection to host categorized as botnet cnc,MEDIUM
p nun nokia soar security risk found on host,MEDIUM
request incomplete fulfillment of service request,LOW
schedule job start with big delay,LOW
update sql server with compatibility,LOW
assign to comm atlas ingenius hazle drugs inc,MEDIUM
ch authorization for tranzaction in sap hr,CRITICAL
cy zts calls,CRITICAL
last location for ipad sn,MEDIUM
good app uninstall,MEDIUM
i can not connect my report to share point folder,LOW
domain join issue,MEDIUM
change e mail supplier ar benelux b v,LOW
access via yammer mobile app is not working,MEDIUM
it corner concierge,LOW
‘terminate pc from production’ service request accepts server and vmi cis,LOW
alisha thomas cw otsuka us com fw access to sharepoint site,MEDIUM
sbm tool mass upload,LOW
power bi pro license monthly fee inquiry,LOW
ru edi please setup message delnot for customer metro,MEDIUM
please configure dsview on below mentioned servers,MEDIUM
re action required mandatory otsuka compliance training,MEDIUM
dp issue failures for emea bs ct ka,HIGH
spc quality monitoring,MEDIUM
support portal user rute lima sinalcabo pt getting error sso – user facing sso error while login,LOW
pfizer com cpqfcahostcntlrstatuschange intel vm host,HIGH
zero value invoicing issue,LOW
accept decision adjust shopping cart,LOW
jabber pc invalid phone credentials,LOW
external bt users access,CRITICAL
need permission for page,LOW
pc hangs every often,LOW
my computer n has no bluetooth,MEDIUM
please review the sync of contract che sap and push for it si nr missing,LOW
remove unix access for,HIGH
please help to unlock my cares login thanks much,LOW
error while editing,LOW
rtii monitoring account srvgbl perfmon lost access to,MEDIUM
configure internal microphone on laptop,MEDIUM
re problems with access to nokia systems,LOW
re load july volume from cons plan into lmre and last official re kf,CRITICAL
contact incident running time is zero at bi report,MEDIUM
please reset password for and for,CRITICAL
grant access to user rock sun,MEDIUM
modules never deployed or obsolete available for filtering,LOW
increase hdd storage for persistent hvd,LOW
sap access for darya hristenko,MEDIUM
it corner concierge,LOW
fi vpn certificate validation error,LOW
it corner concierge,LOW
incident ms teams camera is not enabled,LOW
mfa unable to authenticate did not receive authentication call,LOW
fw netwrix auditor account expiration notification mocr otsuka com,MEDIUM
goal status closed,LOW
hardware laptop keyboard keys popped out issue,LOW
re installation of jabber not possible,MEDIUM
tabs incorrectly showing up on users partner portal page,LOW
qirs cannot issue critical stop ship order to factories,MEDIUM
accessing wrong hvd,LOW
jabber and vpn not connecting,LOW
volume stuck in deleting phase,LOW
adding a new release under qtr release,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
cryptex incorrect password,LOW
it corner concierge,LOW
sap oss please provide sap user access to,MEDIUM
re otsuka vine service disruption due to localized power failure resolved,MEDIUM
ssl connection timeouts to gerrit ext net nokia com from emea nsn net net,MEDIUM
blueplanet issue request to investigate who was the last time table oavh was changed and who raised the last request of change in bpp,LOW
venkatasundeep nagulapati cw otsuka us com fw access request deepak kalwar,MEDIUM
to alight interface weekly file was not transmitted on april,MEDIUM
bitlocker missing manage your pin unable to change pin,LOW
need admin access on nokia imaged laptop,LOW
jabber log in unable to log in,LOW
pulse secure unable to connect,LOW
unable to post gi on dn,LOW
sap qtc so cannot get in to order,LOW
cz wipe out device stolen iphone connect to,MEDIUM
yammer how to create a dashboard and post in yammer group,MEDIUM
re enable account for one week request,LOW
close all lines on and,MEDIUM
pcir to alpim interface no flow or manual push work,LOW
hosted virtual desktop applications issues,LOW
cz sap access,MEDIUM
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
email signatures in outlook,MEDIUM
hcp professional title correction,MEDIUM
ng activate online archiving,MEDIUM
almr idb eai pdmalu interface problem eai not stable,HIGH
ticket to be assigned to oss muhammad kashif muhammad kashif ext nokia com windows image installation,LOW
please provide share name and exports for all nodes on the below file servers,MEDIUM
athq export contacts from outlook account to csv file and provide,CRITICAL
pfizer com logmonitor flasharchive failure escalate and investigate issues asap unix log pfizer flasharchive pfeunix flasharchive errors unix,HIGH
user sridhar infradata com need to be corrected in sp backend,LOW
russia moscow change vm resource,MEDIUM
software center how to repair or re install software,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
it corner concierge,LOW
would is be possible for me to purchase my laptop from otsuka to keep it for personal use i am with otsuka renal i am supposed to send it back soo,MEDIUM
dp issue failures for apac bs gp mixed ct,HIGH
p nun nokia proactive recurrent reinfection,MEDIUM
hardware laptop hdmi output not working,LOW
courtney portik cw otsuka us com courtney portik cw otsuka us com wants to access global pharmacovigilance,MEDIUM
application support portal single sign on error,LOW
sunil kolvekar cw otsuka us com sunil kolvekar cw otsuka us com wants to access weekly report feb feb,MEDIUM
bg create folder on ftp server for sd wh,MEDIUM
it corner concierge,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
hardware break fix services laptop ac adapter charger,LOW
unable to access confluence,LOW
not fullfilled request connected to create sap user,LOW
vpc getting gray screen when accessing the remote desktop,MEDIUM
actual costs not transferred from sap to,LOW
online sharepoint unable to refresh all,LOW
ijm ourtalent access denied,LOW
assignee in jira is not seen,LOW
it assign user query group to user,MEDIUM
http proxy defined for hangzhou very slow,LOW
sybase database is down zam alcatel lucent com,LOW
unable to login into sandbox environment,MEDIUM
unable to continue credo courses in e learn to next page,MEDIUM
pfizer com down intel vm host,HIGH
zscaler not connected,MEDIUM
certificate validation failure,LOW
password reset for robert engi nokia com,LOW
jabber phone services cannot use the phone service due to invalid credentials,LOW
in unable to access ndc alcatel lucent com,LOW
vcc tool issue on brasil not handled during service time,MEDIUM
cisco anyconnect certificate validation failure,LOW
laptop camera is not working,LOW
emea pfizer com cpqsminterfaceerror intel,HIGH
international movement inside cch termination,MEDIUM
veeva engage meeting question,MEDIUM
readsoft stuck docs in readsoft,LOW
add lu haijun nokia id to investments project manager list,LOW
it corner concierge,LOW
ccr monitoring pr not in,LOW
jabber uninstall button greyed out,LOW
how to move big amount of messages,MEDIUM
move files from shared drive to sharepoint library,LOW
mc login user account has been deactivated error,LOW
polycom you have entered and incorrect access code,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
noreply box com,MEDIUM
request incomplete fulfillment of service request,LOW
disabled account for user vandana jaiswal but active on nims idm,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
migrate sharepoint site,LOW
cannot access hvd,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
ro activate online archive,CRITICAL
it disable e meeting room from calendar,MEDIUM
task not implemented for bi,MEDIUM
laptop keys issues,LOW
linsee server issue,MEDIUM
sharedrive is not working on vpn,MEDIUM
it corner concierge,LOW
wireless card is not working request for replacement,LOW
is not loading the user directory,LOW
laptop is not booting up to windows,MEDIUM
lb salesforce scrm unable to login,LOW
ee clearcase hosting application issues,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
wo is stuck in processing po creation due to a missing message issue,LOW
error on laptop,MEDIUM
bso please grant access to custom report,MEDIUM
jenkins master is not working in nesc cloud kube connection,HIGH
push supplier to ariba,LOW
eija saari team e mail does not open,LOW
information browser unable to search,LOW
update customer bpm freight zone der table,MEDIUM
to update status of cr as per status in ipm,MEDIUM
it corner concierge,LOW
adobe flash player bit bit plugin failed to install in software centre,LOW
update sap as per international agreemen,LOW
add user to structural profile,MEDIUM
ad account locked,MEDIUM
pl new bins creation,MEDIUM
user bin luo meredith com correct the company name in sus,LOW
server wrongly maped with quantum,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
office outlook crashes,MEDIUM
ec webex event center webex recording not recieved,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
mda eden products not available in nct,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
brazil billing invoice blocked nfe,MEDIUM
operating system does not find wlan hardware on pc,LOW
it unlock user for airwatch,MEDIUM
process chain failure,LOW
hu shared mailbox access,MEDIUM
user is unable to login to nokia olcs,LOW
vpn remote access,LOW
hu ms teams request to change add owner,MEDIUM
kurt douglass otsuka us com data integrity sp request pptx,MEDIUM
access requests file share,LOW
one drive not connecting,MEDIUM
ie delete items from sap inbox,CRITICAL
data roaming service is not working,MEDIUM
unable to propose resource,LOW
grcy gm scorecard june,CRITICAL
cannot add opportunity cu to existing program for the same customer,MEDIUM
rdp oss connectivity issue,HIGH
stop jumping between travel apps tripsource is the only one you need,MEDIUM
video room conf blue jeans with polycom and ext,MEDIUM
mc nokiameetings getting account has been deactivated,LOW
gb concur change og cost center,LOW
cannot login to jira after changing my passoword,LOW
mk password reset and unlock user in erp,CRITICAL
jabber phone services jabber call option is crossed off in red and not available,LOW
it grant access to bpc to laura salaro,CRITICAL
kindly check why user has no access lucent com groups emea c cz mars,LOW
microsoft teams help,MEDIUM
italy sales rerouting,MEDIUM
parts to be transferred from avl to gpma ref part gpma ref avl,LOW
stack delete failed due to server delete,LOW
sap access for marina konovalova,MEDIUM
unable to access multi change tool,LOW
jabber phone services jabber phone services not connected,LOW
installing software docker desktop for window,LOW
not able to open outlook in my machine,MEDIUM
jabber phone services cant make calls,LOW
it corner concierge,LOW
ee jira application issues,LOW
it corner concierge,LOW
end of employment form raised by lm for employee canniot be un reserved,LOW
fnokia sap bpp webcycle unable to approve view any invoice,LOW
updating office no office programs are available outlook word excel,MEDIUM
office wlan connectivity too slow while roppongi to kawasaki,MEDIUM
drop down windows,LOW
it corner concierge,LOW
it corner concierge,LOW
please lock user urgently,MEDIUM
machine turned to black screen,LOW
user is not able to complete elearn training,MEDIUM
in jenkins delete project in bulk,LOW
incorrect dates appearing for milestones,LOW
blue screen with teams at share document jabber lost internet connection with share screen,MEDIUM
top urgent prior notification listed users will be terminated in respective,LOW
unable to launch sap bpp,LOW
microsoft office license not available,MEDIUM
user as mb tcs com unable to access cares,LOW
rapid response does not open,LOW
users not received validation response from robo,MEDIUM
nokia pc info ip address is showing overlayed on programs when user open them,LOW
ipad pro returned for lisa voight,MEDIUM
inquiries about myhrportal,LOW
wireless mouse connection,MEDIUM
re unlock sap account and reset the password,LOW
certificate validation failure,LOW
error in archive link request,LOW
jabber phone services missing softphone number in nims profile,LOW
windows v upgrade reboot loop issue after upgrading to,LOW
zot zap mat creation approver kostinbrod,MEDIUM
assignment of user in snow groups,MEDIUM
account disabled patel cw bansari,MEDIUM
soft wrap process orders picking wrongly components of sfg material noodle the noodle itself should be picked in the po during the gi backflush,LOW
can t log in to laptop,MEDIUM
re priority has been assigned to you gq edms request of assess permission,MEDIUM
it corner concierge,LOW
eg jabber – phone services phone services activation,LOW
rdnet to office connectivity,LOW
pfizer com multiple copy env daily sh pids detected escalate and investigate issues asap unix log pfizer flasharchive pfeunixflasharchiveerror unix,LOW
hardware laptop ac adapter charger,LOW
customer legal entity incorrect for tr,LOW
it corner concierge,LOW
jabber phone services phone service not working,LOW
application support portal qa access issue,LOW
it corner concierge,LOW
problem installing a software,MEDIUM
gr massive om changes deletion,MEDIUM
extra sim card,MEDIUM
ro cti user creation,MEDIUM
gpma ref avl these parts are not present while in almr are present,MEDIUM
hu help us completing an order,MEDIUM
ng double forecast transferred to snp for nigeria,CRITICAL
jabber fnokia pc phone service not working,MEDIUM
the following link is not working,LOW
request incomplete fulfillment of service request,LOW
hu bins capacity change and add new bin,MEDIUM
it corner concierge,LOW
support portal sboumendil free mobile fr access issues,LOW
reminder assign sap roles vanny imelda pzcussons com,LOW
assign role in p and q,CRITICAL
it corner concierge,LOW
subdemand areas in crm,MEDIUM
it corner concierge,LOW
software fmo windows update installs failed,LOW
web sso other concerns,LOW
zscaler authentication issues on private access,MEDIUM
it corner concierge,LOW
mc webex meeting center media contents were not visible only the audio was recorded,LOW
it corner concierge,LOW
rp nsa unix request,LOW
ma vpn login issue,LOW
mobile phone subscription how to request for change of price plan,LOW
pl vpn keeps reconnecting,LOW
my computer workstation is not starting,MEDIUM
hardware some keys are not working,LOW
remove contact details from nols agreement in cdb,LOW
password reset for bert geerts dbschenker com,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
sap access for nikita shadevskiy,MEDIUM
i have published my power bi report but that cannot be seen by users,MEDIUM
gr access to transaction,MEDIUM
nokia container services product shows doc center as technical documentation tool,LOW
master data management mdm,MEDIUM
vpn remote access,LOW
audio driver issue,LOW
delete duplicate account for the user ibrahim bah sky uk,LOW
olcs web site access,LOW
dynamics crm license issue,LOW
network resources are not available on hvd,LOW
unable to see the files in teams,MEDIUM
mfa snow issue,LOW
zam alcatel lucent com not able to remote desktop and the application is not working,HIGH
unable to access ssdp tool,LOW
be hvd unable to connect to hvd the connection process take too long,LOW
server unable to map the network drives,LOW
office outlook application unable to receive latest emails,LOW
olcs entitlement failed,LOW
hu costa coffe update special allocation rule and cost center oog,CRITICAL
apache not running in cdb,LOW
po is not calculating tax,LOW
change wbs reviewer in coin,CRITICAL
ng request to give license,MEDIUM
partner program nikhil mahalingam al enterprise com,LOW
is inaccessible unable to login via rdc or citrix,HIGH
p nun nokia single infection single host virus clean failed symantec,MEDIUM
p nun nokia authentication repeat windows login failures,MEDIUM
sap issue with the os “narrower label” sap codes can t add them to the contract and thus create the source list,LOW
p nun nokia recon aggressive local scanner detected,MEDIUM
application support portal name and email are not replicated after hours,LOW
it corner concierge,LOW
pfizer com down solaris zone,LOW
hardware integrated laptop keyboard is not working or some keys are not working,MEDIUM
jabber other message could not be delivered error seen even when online in jabber,MEDIUM
gr registered users report,CRITICAL
mailbox meeting scheduling option in outlook is not visible,MEDIUM
subrata halder cw otsuka us com subrata halder cw otsuka us com wants to access ar material,MEDIUM
p nun nokia proactive recurrent reinfection,MEDIUM
it corner concierge,LOW
server date is incorrect c p fad,HIGH
it corner concierge,LOW
jabber input keyword here user unable to make calls on jabber client,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
important problems with skype,MEDIUM
fi software fmo remote desktop connection issue,LOW
machine is making noise and unable to click on any icon on taskbar,LOW
vpc request to increase the memory space,LOW
orange france maxwell issue when creating users,LOW
mobile mail additional security issue,LOW
re priority has been assigned to you fw otsuka sharepoint,MEDIUM
software installation failed,LOW
fnokia voice mobile requesting for the puk code advised user to visit atem but is missing,LOW
it please assign the users ito,MEDIUM
downloading in software center stucked on,LOW
software related laptop issue cause lost multiple files,MEDIUM
mailbox client issue,LOW
nsn logo on ngit reporting sharepoint,LOW
dn s not reached to otm prod from sap,HIGH
nsn intra network account,MEDIUM
it corner concierge,LOW
overdue task deadline extension,CRITICAL
duplicate sim activation request,LOW
fg bom not generate requiremen,MEDIUM
urgent employees same country germany same calendar not blocked for,MEDIUM
slowness observed in sql server,HIGH
support portal you do not acess to this service error on ipm tab,LOW
ukraine material master language key uk not populated for new materials created,LOW
jabber phone services i can t make calls on jabber,LOW
outlook not opening,MEDIUM
pfizer com logmonitor scsi errors escalate and investigate issues asap unix syslog pfeunix scsi errors linux,LOW
pl block sender,MEDIUM
the user is calling stating that they need an active directory account unlock,MEDIUM
westford usa network connectivity issues,HIGH
unable to access to https access nokiasiemensnetworks com isource svnroot pev lsp blrpet server,LOW
excessive hcp s in territory,MEDIUM
nis server not responding for domain cb ndp,LOW
please blacklist helge hovland apply no as phishing email,CRITICAL
hr sap user access,MEDIUM
vpn remote access,LOW
fw user sanggaard cw kirsten citrix problem still having issues with credo,MEDIUM
emea pfizer com cpqheflttolpowersupply intel,LOW
hp network printer toner cartridge replacement,LOW
concur email address changed,LOW
rp nsa unix request,LOW
new user creation nataliya ivanova,MEDIUM
network password reset,MEDIUM
getting error while creating a new work group request,LOW
i ext high five gitlab developer gms members not replicated to eedir,LOW
po catalog for egypt,LOW
hcp has not detail products,MEDIUM
it corner concierge,LOW
